pwm left,pwm right,srf left,srf right
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
50.0,80.0,244,52
49.0,79.0,289,50
48.0,78.0,274,50
47.0,77.0,274,49
46.0,76.0,271,47
45.0,75.0,269,44
44.0,74.0,260,40
43.0,73.0,257,41
42.0,72.0,254,43
41.0,71.0,251,47
40.0,70.0,117,50
39.0,69.0,245,55
38.0,68.0,243,67
37.0,67.0,240,64
36.0,66.0,238,90
35.0,65.0,237,250
34.0,64.0,239,351
33.0,63.0,233,235
32.0,62.0,229,229
31.0,61.0,226,226
30.0,60.0,224,222
29.0,59.0,222,219
28.0,58.0,221,216
27.0,57.0,223,213
26.0,56.0,231,210
25.0,55.0,230,191
24.0,54.0,230,212
23.0,53.0,215,188
22.0,52.0,213,15
21.0,51.0,224,201
20.0,50.0,224,200
19.0,49.0,223,198
18.0,48.0,221,197
17.0,47.0,219,195
16.0,46.0,220,183
15.0,45.0,219,182
14.0,44.0,217,196
13.0,43.0,219,192
12.0,42.0,220,192
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
80.0,50.0,100,189
79.0,49.0,93,117
78.0,48.0,90,114
77.0,47.0,89,113
76.0,46.0,87,111
75.0,45.0,83,236
74.0,44.0,80,233
73.0,43.0,79,231
72.0,42.0,77,230
71.0,41.0,76,231
70.0,40.0,75,225
69.0,39.0,66,223
68.0,38.0,63,222
67.0,37.0,61,242
66.0,36.0,60,218
65.0,35.0,58,214
64.0,34.0,55,214
63.0,33.0,53,242
62.0,32.0,51,208
61.0,31.0,53,206
60.0,30.0,54,205
59.0,29.0,55,203
58.0,28.0,57,200
57.0,27.0,60,198
56.0,26.0,65,196
55.0,25.0,70,196
54.0,24.0,74,193
53.0,23.0,79,192
52.0,22.0,83,188
51.0,21.0,89,187
50.0,20.0,97,187
49.0,19.0,225,223
48.0,18.0,223,221
47.0,17.0,220,278
46.0,16.0,217,264
45.0,15.0,214,247
44.0,14.0,212,247
43.0,13.0,210,245
42.0,12.0,209,243
0.0,0.0,0,0
69.0,69.0,102,102
68.0,68.0,101,100
67.0,67.0,100,99
66.0,66.0,99,98
65.0,65.0,97,96
64.0,64.0,94,94
63.0,63.0,92,91
62.0,62.0,90,89
61.0,61.0,87,87
60.0,60.0,85,84
59.0,59.0,83,82
58.0,58.0,80,80
57.0,57.0,78,78
56.0,56.0,76,75
55.0,55.0,73,73
54.0,54.0,72,71
53.0,53.0,69,68
52.0,52.0,67,66
51.0,51.0,65,64
50.0,50.0,63,62
49.0,49.0,61,60
48.0,48.0,58,58
47.0,47.0,56,56
46.0,46.0,55,54
45.0,45.0,52,52
44.0,44.0,50,50
43.0,43.0,49,48
42.0,42.0,47,46
41.0,41.0,46,45
40.0,40.0,44,43
39.0,39.0,42,41
38.0,38.0,40,40
37.0,37.0,37,16
36.0,36.0,36,18
35.0,35.0,35,34
34.0,34.0,33,32
33.0,33.0,31,30
32.0,32.0,30,29
31.0,31.0,28,28
30.0,30.0,28,26
29.0,29.0,26,24
28.0,28.0,25,23
27.0,27.0,24,22
26.0,26.0,23,21
25.0,25.0,21,21
24.0,24.0,20,21
23.0,23.0,20,19
22.0,22.0,19,18
21.0,21.0,18,17
20.0,20.0,18,17
19.0,19.0,18,16
18.0,18.0,19,16
17.0,17.0,17,15
16.0,16.0,16,15
15.0,15.0,17,14
14.0,14.0,15,15
13.0,13.0,15,15
12.0,12.0,15,15
11.0,11.0,29,16
-10.0,-10.0,17,14
-11.0,-11.0,16,16
-12.0,-12.0,30,14
-13.0,-13.0,31,14
-14.0,-14.0,31,14
-15.0,-15.0,31,15
-16.0,-16.0,31,14
-17.0,-17.0,31,15
-18.0,-18.0,32,14
-19.0,-19.0,31,15
-20.0,-20.0,32,15
-21.0,-21.0,31,15
-22.0,-22.0,32,15
-23.0,-23.0,32,15
-24.0,-24.0,32,15
-25.0,-25.0,33,15
-26.0,-26.0,32,15
-27.0,-27.0,32,16
-28.0,-28.0,99,15
-29.0,-29.0,99,15
-30.0,-30.0,99,15
-31.0,-31.0,32,15
-32.0,-32.0,99,15
-33.0,-33.0,98,15
-34.0,-34.0,99,15
